,Time,SpO2(%),Pulse Rate(bpm),Motion,SpO2 Reminder,PR Reminder,PERIODIC_BREATHING,labels_periodic
334,"02:18:19AM Feb 6, 2022",98,71,0,0,0,0,0
335,"02:18:23AM Feb 6, 2022",98,75,0,0,0,0,0
336,"02:18:27AM Feb 6, 2022",98,76,0,0,0,0,0
337,"02:18:31AM Feb 6, 2022",98,74,0,0,0,0,0
338,"02:18:35AM Feb 6, 2022",98,72,0,0,0,0,0
339,"02:18:39AM Feb 6, 2022",98,69,0,0,0,0,0
340,"02:18:43AM Feb 6, 2022",98,66,0,0,0,0,0
341,"02:18:47AM Feb 6, 2022",98,65,0,0,0,0,0
342,"02:18:51AM Feb 6, 2022",98,70,0,0,0,0,0
343,"02:18:55AM Feb 6, 2022",98,69,0,0,0,0,0
344,"02:18:59AM Feb 6, 2022",98,75,0,0,0,0,0
345,"02:19:03AM Feb 6, 2022",98,71,0,0,0,0,0
346,"02:19:07AM Feb 6, 2022",98,71,0,0,0,0,0
347,"02:19:11AM Feb 6, 2022",98,67,0,0,0,0,0
348,"02:19:15AM Feb 6, 2022",98,69,0,0,0,0,0
349,"02:19:19AM Feb 6, 2022",98,63,0,0,0,0,0
350,"02:19:23AM Feb 6, 2022",98,67,0,0,0,0,0
351,"02:19:27AM Feb 6, 2022",98,75,0,0,0,0,0
352,"02:19:31AM Feb 6, 2022",98,77,0,0,0,0,0
353,"02:19:35AM Feb 6, 2022",98,67,0,0,0,0,0
354,"02:19:39AM Feb 6, 2022",98,70,0,0,0,0,0
355,"02:19:43AM Feb 6, 2022",98,75,0,0,0,0,0
356,"02:19:47AM Feb 6, 2022",98,74,0,0,0,0,0
357,"02:19:51AM Feb 6, 2022",98,70,0,0,0,0,0
358,"02:19:55AM Feb 6, 2022",98,68,0,0,0,0,0
359,"02:19:59AM Feb 6, 2022",98,72,0,0,0,0,0
360,"02:20:03AM Feb 6, 2022",98,75,0,0,0,0,0
361,"02:20:07AM Feb 6, 2022",98,73,0,0,0,0,0
362,"02:20:11AM Feb 6, 2022",98,72,0,0,0,0,0
363,"02:20:15AM Feb 6, 2022",98,73,0,0,0,0,0
364,"02:20:19AM Feb 6, 2022",98,70,0,0,0,0,0
365,"02:20:23AM Feb 6, 2022",98,72,0,0,0,0,0
366,"02:20:27AM Feb 6, 2022",98,70,0,0,0,0,0
367,"02:20:31AM Feb 6, 2022",98,74,0,0,0,0,0
368,"02:20:35AM Feb 6, 2022",98,71,0,0,0,0,0
369,"02:20:39AM Feb 6, 2022",98,65,0,0,0,0,0
370,"02:20:43AM Feb 6, 2022",98,71,0,0,0,0,0
371,"02:20:47AM Feb 6, 2022",98,71,0,0,0,0,0
372,"02:20:51AM Feb 6, 2022",98,64,0,0,0,0,0
373,"02:20:55AM Feb 6, 2022",98,63,0,0,0,0,0
374,"02:20:59AM Feb 6, 2022",98,66,0,0,0,0,0
375,"02:21:03AM Feb 6, 2022",98,67,0,0,0,0,0
376,"02:21:07AM Feb 6, 2022",98,68,0,0,0,0,0
377,"02:21:11AM Feb 6, 2022",98,69,0,0,0,0,0
378,"02:21:15AM Feb 6, 2022",98,73,0,0,0,0,0
379,"02:21:19AM Feb 6, 2022",98,70,0,0,0,0,0
380,"02:21:23AM Feb 6, 2022",98,71,0,0,0,0,0
381,"02:21:27AM Feb 6, 2022",98,75,0,0,0,0,0
382,"02:21:31AM Feb 6, 2022",98,74,0,0,0,0,0
383,"02:21:35AM Feb 6, 2022",98,71,0,0,0,0,0
384,"02:21:39AM Feb 6, 2022",98,73,0,0,0,0,0
385,"02:21:43AM Feb 6, 2022",98,64,0,0,0,0,0
386,"02:21:47AM Feb 6, 2022",98,70,0,0,0,0,0
387,"02:21:51AM Feb 6, 2022",98,73,0,0,0,0,0
388,"02:21:55AM Feb 6, 2022",98,76,0,0,0,0,0
389,"02:21:59AM Feb 6, 2022",98,77,0,0,0,0,0
390,"02:22:03AM Feb 6, 2022",98,80,0,0,0,0,0
391,"02:22:07AM Feb 6, 2022",98,72,0,0,0,0,0
392,"02:22:11AM Feb 6, 2022",98,69,0,0,0,0,0
393,"02:22:15AM Feb 6, 2022",98,65,0,0,0,0,0
394,"02:22:19AM Feb 6, 2022",98,72,0,0,0,0,0
395,"02:22:23AM Feb 6, 2022",98,72,0,0,0,0,0
396,"02:22:27AM Feb 6, 2022",98,67,0,0,0,0,0
397,"02:22:31AM Feb 6, 2022",98,70,0,0,0,0,0
398,"02:22:35AM Feb 6, 2022",98,67,0,0,0,0,0
399,"02:22:39AM Feb 6, 2022",98,70,0,0,0,0,0
400,"02:22:43AM Feb 6, 2022",98,74,0,0,0,0,0
401,"02:22:47AM Feb 6, 2022",98,69,0,0,0,0,0
402,"02:22:51AM Feb 6, 2022",98,67,0,0,0,0,0
403,"02:22:55AM Feb 6, 2022",98,67,0,0,0,0,0
